Input,Output
قميص كرة القدم ، كرة كرة القدم ، مرابط كرة القدم ، قفازات حارس المرمى ، مرمى كرة القدم ، مخاريط كرة القدم,حراس كرة القدم
قميص كرة السلة وكرة السلة وأحذية كرة السلة وأكمام ذراع كرة السلة وأطفو كرة السلة,شورت كرة السلة
قميص كرة القدم ، كرة القدم ، مرابط كرة القدم ، وسادات كتف كرة القدم,خوذة كرة القدم
قميص البيسبول ، البيسبول ، مرابط البيسبول ، قبعة البيسبول ، مضرب البيسبول,قفاز البيسبول
قميص التنس ، كرة تنس ، أحذية تنس,مضرب التنس
قميص الهوكي ، قرص الهوكي ، خوذة الهوكي ، زلاجات الهوكي ، عصا الهوكي,وسادات الهوكي
قميص كرة القدم ، قميص كرة السلة ، قميص كرة القدم ، قميص البيسبول ، قميص التنس,الهوكي قميص
كرة كرة القدم ، كرة السلة ، كرة القدم ، البيسبول ، كرة التنس,قرص الهوكي
مرابط كرة القدم ، أحذية كرة السلة ، مرابط كرة القدم ، مرابط البيسبول ، أحذية التنس,الزلاجات الهوكي
خوذة كرة القدم ، قبعة البيسبول,خوذة الهوكي
مضرب التنس ، عصا الهوكي,مضرب البيسبول
حراس كرة القدم ، وسادات كتف كرة القدم,وسادات الهوكي
هدف كرة القدم,كرة السلة هوب
شورت كرة القدم,شورت كرة السلة
قميص كرة القدم ، كرة كرة القدم ، مرابط كرة القدم ، قفازات حارس المرمى ، هدف كرة القدم ، حراس كرة القدم,مخاريط كرة القدم
قميص كرة القدم ، كرة كرة القدم ، مرابط كرة القدم ، قفازات حارس المرمى ، حراس كرة القدم ، مخاريط كرة القدم,هدف كرة القدم
قميص كرة القدم ، كرة كرة القدم ، مرابط كرة القدم ، حراس كرة القدم ، هدف كرة القدم ، مخاريط كرة القدم,قفازات حارس المرمى
قميص كرة القدم ، كرة كرة القدم ، حراس كرة القدم ، قفازات حارس المرمى ، مرمى كرة القدم ، مخاريط كرة القدم,مرابط كرة القدم
قميص لكرة القدم ، حراس كرة القدم ، مرابط كرة القدم ، قفازات حارس المرمى ، مرمى كرة القدم ، مخاريط كرة القدم,كرة القدم
حراس كرة القدم ، كرة كرة القدم ، مرابط كرة القدم ، قفازات حارس المرمى ، هدف كرة القدم ، مخاريط كرة القدم,قميص لكرة القدم
قميص كرة السلة وكرة السلة وأحذية كرة السلة وأكمام ذراع كرة السلة وسروال كرة السلة,كرة السلة هوب
قميص كرة السلة ، كرة السلة ، أحذية كرة السلة ، شورتات كرة السلة ، كرة السلة,دقة ذراع كرة السلة
قميص كرة السلة ، كرة السلة ، شورتات كرة السلة ، جبل ذراع كرة السلة ، كرة السلة,أحذية كرة السلة
قميص كرة السلة ، شورتات كرة السلة ، أحذية كرة السلة ، جبل ذراع كرة السلة ، كرة السلة,كرة سلة
شورت كرة السلة وكرة السلة وأحذية كرة السلة وأكمام ذراع كرة السلة وأطفو كرة السلة,كرة السلة قميص
قميص كرة القدم ، كرة القدم ، مرابط كرة القدم ، خوذة كرة القدم,منصات الكتف كرة القدم
قميص كرة القدم ، كرة القدم ، خوذة كرة القدم ، وسادات كتف كرة القدم,مرابط كرة القدم
قميص كرة القدم ، خوذة كرة القدم ، مرابط كرة القدم ، وسادات كتف كرة القدم,كرة القدم
خوذة كرة القدم ، كرة القدم ، مرابط كرة القدم ، وسادات كتف كرة القدم,كرة قدم قميص
قميص البيسبول ، البيسبول ، مرابط البيسبول ، قبعة البيسبول ، قفاز البيسبول,مضرب البيسبول
قميص البيسبول ، البيسبول ، مرابط البيسبول ، قفاز البيسبول ، مضرب البيسبول,قبعة البيسبول
قميص البيسبول ، البيسبول ، قفاز البيسبول ، قبعة البيسبول ، مضرب البيسبول,مرابط البيسبول
قميص البيسبول ، قفاز البيسبول ، مرابط البيسبول ، قبعة البيسبول ، مضرب البيسبول,البيسبول
قفاز البيسبول ، البيسبول ، مرابط البيسبول ، قبعة البيسبول ، مضرب البيسبول,البيسبول قميص
قميص التنس ، كرة التنس ، مضرب التنس,أحذية تنس
قميص التنس ، مضرب التنس ، أحذية التنس,كرة التنس
مضرب التنس ، كرة تنس ، أحذية تنس,قميص التنس
قميص الهوكي ، قرص الهوكي ، خوذة الهوكي ، زلاجات الهوكي ، وسادات الهوكي,عصا الهوكي
قميص الهوكي ، قرص الهوكي ، خوذة الهوكي ، وسادات الهوكي ، عصا الهوكي,الزلاجات الهوكي
قميص الهوكي ، قرص الهوكي ، وسادات الهوكي ، وزلاجات الهوكي ، وعصا الهوكي,خوذة الهوكي
قميص الهوكي ، وسادات الهوكي ، وخوذة الهوكي ، وزلاجات الهوكي ، وعصا الهوكي,قرص الهوكي
